ID,LESSON,BOOK_LESSON,SUBJECT,TITLE,BOOK_TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
552,53-1,53,The Thumb Tie,"Tarbell's ""Li Ling"" Thumb Tie",Chow Sen Thumb Tie,0:34:33,4,279,Another way to tie the straps around the thumbs,,NONE
553,53-1,53,The Thumb Tie,Bonus Routine: Pick Pocket Thumb Escape,Frank Ducot Thumb Tie,1:07:14,---,---,"Magician's thumbs are bound. Spectator's act as a ""curtain"" while magician steps behind them and ""pickpocket"" them, taking their wallet, keys, watch, etc... (gag only.  No pickpocketing involved)",uses two cords,NONE
554,53-1,53,The Thumb Tie,Bonus Routine: Thumb Tie Guillotine Escape,Jack Miller Thumb Tie,1:19:44,---,---,Magician wheels out double guillotine on stage. Magician gets thumb tied so he is trapped with arms under the blade.  Timer starts.  Guillotine falls and magician pushes hands through cover showing magician still locked in.  Blade has passed through magician's arms.,Frank Ducot variation,NONE
555,53-1,53,The Thumb Tie,Bonus Routine: Twist-Tied Together,Tarbell's Simplex,2:18:44,---,---,"2 spectators have their thumbs bound tying them to a ladder.  Magician is also locked to ladder with spectators.  Magician quickly escapes, and causes 1 spectator to escape.  ",knotting method,NONE
556,53-1,53,The Thumb Tie,Mel Forrester's Rubber Band Thumb Tie,Tarbell's Li King,2:33:01,4,283,Thumbs gets bound together by rubberbands.  spectator holds another rubber band.  Rubberbands penetrate each other.  Spectator throws a ring and magician catches it as it penetrates the rubberband.  ,knotting method,NONE
557,54-1,53,Chinese Linking Rings,Chinese Linking Rings,Tarbell Tape Tie,0:00:10,4,287,Solid rings link and unlink (8-ring routine),tape is simply cut through,NONE
558,54-1,53,Chinese Linking Rings,"Weber's Emergency Routine/Tommy Dowd's ""Odin"" Ring Count",Tarbell's Chinese Thumb Tie,0:57:07,4,"304, 312",Solid rings link and unlink (4-ring routine),"tape, not really tied",NONE
559,54-1,53,Chinese Linking Rings,Harlan's Big Easy Linking Rings,Mel Forrester's Rubber Band,1:15:25,---,---,Borrowed Mardi-gras necklaces are linked together and unlinked. Spectators are unable to unlink them.  Everything is examinable.,knotting method,NONE
560,54-1,54,Chinese Linking Rings,Jack Miller's Spinning Rings,"Eugene Laurant 11 ring routine (2 extra singles, 1 extra key). Uses 1 key to show 'dead' sound when rung. Rings are linked, examined, clash link, figures, all unlink at end.",1:30:19,4,311,A way to spin the rings to show they are solid,,NONE
561,54-1,54,Chinese Linking Rings,Tommy Dowd's Spinning Ring Flourish,Weber's Emergency Routine,1:32:08,4,314,A way to spin the ring and unlink them at the same time.,2 singles,NONE
562,55-1,54,Magic with Ribbon,The Cut and Restored Ribbon,Jack Miller's Spinning Rings,0:00:10,4,317,Magician cuts ribbon in middle.  Ribbon is restored.  ,flourish,NONE
563,55-1,54,Magic with Ribbon,The Card on the Ribbon Mystery/The Dollar Bill on the Ribbon,Tommy Dowd's Odin Ring Count,0:07:59,4,"320, 323","Magician pulls a Greeting card out of an envelope and borrows a dollar from spectator that is signed.  Magician clearly places signed dollar in card and cuts ribbon and a slit in the envelope.  Magician puts ribbon through slit.  Magician pushes card into envelope and when card is pulled back out, ribbon is going through it.  Magician pushes dollar into card, opens card and ribbon is now going through signed dollar.  All are given to spectator.",a 4 ring count,NONE
564,55-1,54,Magic with Ribbon,The Ghostly Ribbon,Tommy Dowd's spinning ring unlink,0:33:09,4,326,"Magician hands out for inspection an envelope with windows cut into it. Magician borrows a monetary bill and places it in the envelope. Everyone sees it. Envelope is sealed. Magician then cuts entire thing in half with scissors.  Magically, bill is not harmed.",,NONE
565,55-1,55,Magic with Ribbon,A Spirit Communication,Cut and Restored Ribbon.,0:46:42,4,328,"Spectator initials both sides of 2 cards that are held together by a ribbon (or hundred dollar bill). Spectator puts those cards in pocket. Spectator chooses number 1-21 and pulls off that many cards from deck and hides them in pocket (while magician is turned away). Magician deals off 21 cards and gets rid of the rest of the deck.  Spectator then deals off the number of cards that they chose from the pack of 21.  They pull out the 2 cards they initialed and read them.  Written on the cards is ""Your number Finds the...  Jack of Spades...""  The next card from the pack of 21 is turned over to reveal the Jack of Spades.",,NONE
566,55-1,55,Magic with Ribbon,A Wandering Ribbon,Card on Ribbon Mystery,0:57:35,4,333,Spectator writes name and random 4 digit number on ribbon. Ribbon is placed in an envelope which is then sealed. .  Another spectator writes their name on an envelope and seals it.  Both envelopes are folded in half and in half again.  Spectators switch places.  Magician makes ribbon appear in his pocket then vanish from his hand.  Spectator 1 rips open envelope to reveal it is empty.  Magician opens spectator 2's envelope to reveal that the ribbon has appeared there.,thru envelope,NONE
567,55-1,55,Magic with Ribbon,King Soloman Marriage Bands,Dollar Bill on Ribbon,1:06:40,4,335,"Magician takes about 6 feet of register tape and forms a loop. He then proceeds to tear down the center to make 2 loops. He gets audience members on stage to do the same, but when they do it, they form 1 big loop instead of 2 loops.  1 person forms 2 loops but they are linked together.","as above Coin, Money",NONE
568,55-1,55,Magic with Ribbon,"The ""Whamsy"" Cut and Restored Ribbon",Ghostly Ribbon,1:19:59,4,337,Shoelace is cut several times and the ends are tied together to form one long shoelace.  Shoelace is restored.,ribbon cut through envelope,NONE
569,56-1,55,Silken Trickery,Carlyle's 20th Century Silks,Spirit Communication,0:00:10,4,341,Magician ties 2 long silks end to end and places the knot inside a glass. Magician places colorful silk in lunch bag which is then popped.  Confetti comes out.  Silk has disappeared.  Magician then pulls out the silks that were tied end to end to reveal that the colored silk is now tied between them both.,Magic slate type prediction,NONE
570,56-1,55,Silken Trickery,Al Baker's 20th Century Silks,A Wandering Ribbon,0:19:24,4,344,"2 Silks are tied together by the spectator. The are placed inside a paper tube. Another silk is caused to vanish by the spectator. When the spectator pulls the other 2 out of the tube, the one that vanished is now found tied between the other 2.","pink ribbon vanishes, appears in blue envelope",NONE
571,56-1,55,Silken Trickery,Al Baker's Sympathetic Silks,King Solomon's Marriage Bands,0:47:25,4,347,"When the magician does something with 2 silks (purple and green get tied together), 2 other silks magically get tied together.  If 2 of them get untied, the other 2 get magically untied.",Afghan bands,NONE
572,56-1,55,Silken Trickery,"Jack Miller's Knotty Silk & ""Flash"" Silk Production",Whamsy Cut and Restored Ribbon,1:13:33,4,"352, 366","Silk is produced, a knot is tied in it, knot disappears. Knot is tied again, and again it disappears.  Knot is tied again, but this time, the silk unties itself.  Then the silk ties itself.  Finally the silk starts to move from hand to hand like it's alive.  ",duplicate,NONE
573,56-1,56,Silken Trickery,The Penetrative Silk,Carlyle's 20th Century Silks,1:29:26,4,355,Silk is passed through a microphone stand magically 4 times.  ,3rd silk appears knotted between,NONE
574,56-1,56,Silken Trickery,The Cords of Phantasia,Al Baker's 20th Century Silks,1:34:42,4,357,2 Ropes are examined and held by spectators.  A neck tie is selected and placed over the ropes.  Tie is tied around the ropes.  Another tie is selected and tied around the ropes.  This is done 2 more times so 4 ties are tied around the ropes.  All ties magically penetrate the ropes.,"Uses dye tube, black art well",NONE
575,56-1,56,Silken Trickery,Instant Handkerchief Spread/Carlyle's One-Hand Silk Production/Carlyle's Multiple Silk Production,Al Baker's Sympathetic Silks,1:46:38,4,"365, 368, 370","Dollar is shown, burned, and silk is produced.  Silk is multiplied into 2. 1 silk is put away and the other is multiplied again into 2.  1 silk is put away and a money flower is produced from it.  The silk is again multiplied into 2 and again and again and again.  Another 3 money flowers are produced from it. Finally, yet another silk and money flower are produced then a giant money silk is produced between both silks and money flowers.",2 methods,NONE
576,57-1,56,Slate Mysteries Vol 1,Double Slate Writing,A Remarkable Giant,0:00:10,4,375,2 slates are shown blank on both sides.  Spectator selects card and writes down card on one of the slates.  He then erases it.  Magician shows that the card has been magically written on the other slate.,ribbon becomes tied between silks,NONE
577,57-1,56,Slate Mysteries Vol 1,Two Messages on Slates/How to Force Two Messages,Jack Miller's Knotty Silk,0:10:23,4,"378, 379","Half of audience is instructed to write down a famous person, the other half is instructed to write a famous place (All can be different). All names are placed into 1 lunch bag while all places are placed into another.  Spectator shakes 1 bag to mix and magician shakes the other.  Spectator reaches into the people bag and pulls 1 name out and then reveals a few of the other names they could have selected.  Spectator then pulls out a place.  The 2 photos are then shown to be backward.  They magically change.",dissolving and appearing knot,NONE
578,57-1,56,Slate Mysteries Vol 1,Al Baker Slip of Paper Force,Penetrative Silks,0:31:41,4,383,"Spectator signs their dollar and folds it prior to ever coming on stage.  Magician instructs spectator to fold it into 8ths and place dollar into envelope and seal it. Magician then proceeds to write on dry-erase board what the serial number is.  Spectator pulls out dollar and unfolds it.  After looking at the first 2 numbers, it appears that the magician got the number incorrect.  Magician holds hand over dollar and asks spectator to slowly read off serial number while showing what he had written down (without changing what he had written).  Everything matches perfectly.",silk penetrates bar,NONE
579,57-1,56,Slate Mysteries Vol 1,Numbered Double-Slate Writing,Cords of Phantasia,0:45:37,4,386,"Spectator selects landmark from magazine. Spectator writes down what the landmark is on one dry-erase board and puts their initials on it.  Magician puts his initials on another dry-erase board.  Just by waving the marker near his board, the magician draws an image of the landmark.","Grandma's Necklace for stage, 3 methods",NONE
580,57-1,56,Slate Mysteries Vol 1,Simplex Double Slates,Instant Handkerchief Spread,0:59:04,4,389,"Spectator thinks of favorite playing card and hold onto card deck.  Magician pulls out 2 blank cards. Spectator pulls out their favorite card from the deck and lays it on the table. Spectator hold onto the 2 blank cards while thinking of the face of the card.  When they flip the cards over, a dim, slightly blurry image of their favorite card is shown to have appeared. They then think of the back of the card and when flipped over, the playing card back has appeared.  The spectator gets to keep the card. ",fold to produce large silk,NONE
581,57-1,56,Slate Mysteries Vol 1,Single-Slate Writing,Flash Silk Production,1:17:24,4,390,Word written on dry-erase board instantly changes. (blackart),"thread, from behind lapel",NONE
582,57-1,56,Slate Mysteries Vol 1,Transfer Single-Slate Writing,Carlyle's One Hand Silk Production,1:24:00,4,391,"ESP cards are selected by a spectator and the magician consistently draws the selected symbol correctly.  Then other spectators select a card and the original spectator is going to draw an image in the air, the magician ""fixes"" the image and magically makes the image appear on the dry-erase board",special gimmick,NONE
583,57-1,56,Slate Mysteries Vol 1,A Visible Message,Carlyle's Multiple Silk Production,1:39:22,4,392,5 cards with symbols indicating sports are shown and spectator selects one.  Magician writes down a sport on a dry-erase board and gets it wrong.  He writes another and gets it wrong.  Spectator erases board to reveal an image of the sport.,1-2-3-5-8! Special pockets,NONE
584,57-1,57,Slate Mysteries Vol 1,Dobrin's Double Locking Slate/Magic Square,Double Slate Writing,1:50:56,4,392,Spectator writes a 2-digit number. Magician draws a 4x4 matrix. Magician writes random numbers into the matrix very quickly.  All 4 numbers equal the spectator's selected number. ,Flap slate,NONE
585,57-2,57,Slate Mysteries Vol 2,Larsen and Wright Double Message,Two Messages on Slates,0:00:10,4,394,"Greeting card is shown on both sides and placed in an envelope.  When pulled back out, it has ""Thank You"" on one side and ""Good Night"" on the other.",how to force 2 messages,NONE
586,57-2,57,Slate Mysteries Vol 2,Jack Miller Slate Routine,Al Baker Slip of Paper Force,0:06:01,4,396,"2 white boards and a marker are passed out for examination.  They are all handed back to magician. All sides of both boards are clearly numbered 1-4.  One of the numbers is freely selected.  ""2"" becomes the ""Target"". ""4"" becomes the ""Send"" button. ""3"" gets a list of random numbers on it from the audience.  When the random numbers are totalled, ""4"", the ""Send"" button, is pressed and ""1"" is turned around to reveal the total already written on it.  ",envelopes,NONE
587,57-2,57,Slate Mysteries Vol 2,Multiple Slate Writing,Numbered Double Slate Writing,0:26:10,4,399,A list of random words is written by the audience.  A spectator is then handed the list of random words and freely selects one.  The magician never hears or sees the list.  The spectator simply thinks of the word.  The spectator is then shown blank business cards and asked to picture any letter from the word on the business card.  The magician correctly gets all the letters correct.  The magician then correctly puts the letters in order to spell the word that was freely thought of.,"flap slates, forcing deck",NONE
588,57-2,57,Slate Mysteries Vol 2,A Spooky Message,Simplex Double Slates,0:42:39,4,402,"Cards are freely shuffled and one is placed face down on a dray erase board and another dry erase board is placed on top of it.  The spectator and magician both ""race"" to try to see who can guess it first.  The magician writes down ""The Name of The Card Is...""  He asks the spectator to erase the sentence, but only some of the letters erase to reveal the ACTUAL name of the card.",no flap,NONE
589,57-2,57,Slate Mysteries Vol 2,Message on Paper,Single Slate Writing,0:53:50,4,406,"Spectator shuffles deck and pulls off post-it note. Spectator selects card and places post-it not on color plate that matches the color of his card.  Magician puts both plates together face to face. Marker goes between them.  After shaking them a bit, plates are separated and black plate is flipped to reveal that the marker has written, by itself, the spectator's card value and suit.",flap,NONE
590,57-2,57,Slate Mysteries Vol 2,Chinese Comedy Slate Message,Transfer Single Slate Writing,1:08:33,4,408,"Spectator writes their initials on a dry-erase board. Spectator selects a playing card with an ancient philosopher on it and asks a philosopher an existential question.  When they flip the board over, the answer is written, in Chinese, still with their initials on it.  ",transfering chalk from newspaper to ungaffed slate,NONE
591,57-2,57,Slate Mysteries Vol 2,White Chalk of Many Colors,A Visible Message,1:25:15,4,411,"Magician uses black marker to write words Hello, Red, Green, and Blue.  With a snap, the colors change from Black to the actual colors.",onion juice,NONE
592,58-1,57,Illusions,"David Bamberg's ""The Girl from the Light""",Dobrin's Double Locking Slate,0:00:10,4,413,"Variations of Shadowbox including construction, solo, and assistant performances",hinged flap,NONE
593,59-1,57,Unique Magic,Harrison's Knife Through Coat,Larsen and Wright Double Message,0:00:10,5,13,"A very convincing knife through coat in which an X-acto knife makes a real hole in a shirt, passes through it, yet leaves no damage behind.","one slate, flap, large envelope",NONE
594,59-1,57,Unique Magic,"Frank Kelly's ""I Dood It""",Jack Miller Slate Routine,0:18:51,5,22,"A borrowed dollar is torn to pieces and an apparent mistake turns into an opportunity for an unexpected, comedy restoration.",2 slates,NONE
595,59-1,57,Unique Magic,Hindu Yarn Mystery,Multiple Slate Writing,0:28:49,5,27,"A version of the perennial favorite, broken and restored string, but using more visible yarn for stand-up and stage work.","four slates, flap",NONE
596,59-1,57,Unique Magic,Mora's Travelling Marbles,A Spooky Message,0:37:24,5,30,"An elegant piece incorporating timing, misdirection, and sleight-of-hand... now updated to use common items you might find around your house.","flap, ""Before Your Eyes"" wipe-away prediction",NONE
597,59-1,57,Unique Magic,"Edwin Tabor's ""Fourth Dimension"" Silks/""Gene"" Tarbell's ""Pull-Apart"" Silks/Martin Gardner's ""Pop-Up"" Cigarette/Martin Gardner's Immovable Cigarette",Message on Paper,1:03:36,5,"37, 40, 52, 53",A devious modern method to instantly exchange one beverage for another while one is still sealed in the can.,On paper between slates,NONE
598,59-1,57,Unique Magic,"""Penetra"" Silk",Chinese Comedy Slate Message,1:24:17,5,43,"A couple of quick silk penetrations, a full routine with a one-of-a-kind souvenir, and an instant exchange of a cigarette and a chosen card.","message appears on signed slate, corner cut flap",NONE
599,59-1,57,Unique Magic,Blackledge Card and Cigarette Change,White Chalk of Many Colors,1:58:00,5,47,,"white writing changes color, flap",NONE
600,59-1,58,Unique Magic,Bob Ellis' Thimble Production,David Bamberg's The Girl From the Light Illusions,2:15:02,5,56,A surprisingly sudden thimble appearance that's also pretty easy to do.,girl appears in shadow box,NONE
601,59-1,59,Unique Magic,Ed Reno's Ink to Water,Unique Magic,2:21:26,5,57,A bit of mental magic which reveals another way to transform one drink into another to match the randomly chosen soda.,,NONE
602,59-1,59,Unique Magic,"Audley Walsh's ""King of (Nite) Clubs""",Harrison's Knife Through Coat (actually goes through!),2:43:11,5,60,"A self-contained comical rising and transforming card character, updated to appeal to modern sensibilities.",,NONE
603,59-1,59,Unique Magic,Audley Dunham's Vanishing Coins,Frank Kelly's I Dood It,0:00:10,5,66,"A way to vanish multiple coins that fools not only the eyes, but also the ears.",Torn and Restored napkin with comedy ending,NONE
604,6-1,59,The Thumb Tip,Mystery of the Burning Cigarette ,Hindu Yarn Mystery,0:00:10,1,118,Make burning cigarette vanish inside cloth,Yarn torn to pieces and restored,NONE
605,6-1,59,The Thumb Tip,The Asbestos Palm,Mora's Traveling Marbles,0:12:51,1,121,Make lit match vanish inside bare hand,Marbles travel 1 at a time from hat to hat,NONE
606,6-1,59,The Thumb Tip,Burning a Borrowed Handkerchief ,Buckley's Milk and Silk Tranposition,0:16:32,1,122,"Destroy an object and restore it.  In this case, cut and restore wired earbuds.","One glass with silk placed in hat, other glass of milk wrapped in paper. They change places. Liquid",NONE
607,6-1,59,The Thumb Tip,The Enchanted Paper,Edwin Tabor's Fourth Dimension Silks,0:25:03,1,125,Make a dollar invisible and use another to make it visible again,Two different colored silks are tied together and pulled apart,NONE
608,6-1,59,The Thumb Tip,The Passe-Passe Salt,Gene Tarbell's Pull Apart Silks,0:33:43,1,129,"Salt, poured in hand, vanishes and reappears",As above,NONE
609,60-1,59,More Unique Mysteries,Dunham's Floating Ping Pong Ball,Penetra Silk,0:04:32,5,67,Learn one of life's most important lessons... how to impress your friends at a party with your mad levitating beer pong skills.,Silk disappears from glass to appear in clear box (uses commercial Crystal Casket),NONE
610,60-1,59,More Unique Mysteries,"Rufus Steele's ""A Flower for you""",Blackledge Card and Cigarette Change,0:11:52,5,69,"A truly unique way to find and produce signed, selected cards.","Selected card has corner torn off and is rolled up like a cigarette. It changes into a cigarette, and the card is found in a cigarette case previously examined and now held by the spectator",NONE
611,60-1,59,More Unique Mysteries,Ed Reno's Watch and Geranium,Martin Gardner's Pop Up Cigarette,0:23:03,5,72,A borrowed object to impossible location... Could it be the shrub? Better check his roots.,Cigarette is covered by handkerchief and suddenly pops through it,NONE
612,60-1,59,More Unique Mysteries,Watch the Lemon,Martin Gardner's Immovable Cigarette,0:48:03,5,75,A strange arrangement of items instantly produces lemonade by completely removing the inside of a lemon without damaging the skin.,"Cigarette held through cloth. Cloth removed, cigarette stays",NONE
613,60-1,59,More Unique Mysteries,Popping Corn in a Hat,Bob Ellis' Thimble Production,1:13:03,5,78,Two different ways to magically make popcorn... for one person or the whole group.,"One thimble produced, hands shown, suddenly 4 thimbles are shown",NONE
614,60-1,59,More Unique Mysteries,Tarbell's Quick Popper,Ed Reno's Ink to Water,1:23:39,5,83,Two different ways to magically make popcorn... for one person or the whole group.,"Glass if ink shown, card dipped in and colored, ink changes to silk",NONE
615,60-1,59,More Unique Mysteries,"Gardner's ""Card Through the Handkerchief""",Audley Walsh's King of Nite Clubs,1:33:05,5,84,A signed card penetration through the case and a cloth.,"3 Cards rise, one turns out with Al Jolson cutout",NONE
616,60-1,60,More Unique Mysteries,"Carmen Damico's ""Toss Over Card""",More Unique Mysteries,1:42:52,5,86,A very fooling 1 card across,,NONE
617,60-1,60,More Unique Mysteries,Stanley Jak's Good Luck Card,Audley Dunham's Vanishing Coins,1:53:47,5,89,Signed card to coin purse. Perfect for close up workers.,Coins tossed into glass vanish,NONE
618,60-1,60,More Unique Mysteries,"Himber's ""Name Cards"" Karrell Fox's ""The Question is...""",Dunham's Floating Ping Pong Ball,2:02:47,5,"91, 96",Find multiple cards using your spectators names. A comedy card revelation with proper punctuation,,NONE
619,60-1,60,More Unique Mysteries,Leon Maguire's Newspaper Card Holder,Rufus Steele's A Flower For You,2:20:23,5,93,"A stand-up, interactive pseudo-memory stunt using a one of a kind gimmick.","Cards are selected and returned. Three flowers are presented to the spectators, each with the selected card attached.",NONE
620,60-1,60,More Unique Mysteries,"Tony Lopilato's ""Yeast"" Pack",Ed Reno's Watch and Geranium,2:42:27,5,97,Inflate the deck to change the color of any named card.,"Borrowed watch vanishes from newspaper, appears in roots of potted plant",NONE
621,60-1,60,More Unique Mysteries,Tony Lopilato's Sympathetic Silks The Quick-Knot Silks Tony Lopilato's Snappy Knotting Silks,Watch the Lemon,2:58:18,5,99-104,"A bunch of bandanas are brought together with socio-political commentary, and magic knots, to inspire you to think beyond the trick.","Lemon transfer from glass to glass apparently fails, until it is found that the lemon is empty and the contents have transferred",NONE
622,60-1,60,More Unique Mysteries,Gene Tarbell's Rubber Band Off String Seymour Davis's Wand Through Handkerchief Wand Through the Hat,Popping Corn In a Hat,3:23:09,5,104-110,A giant nail is used to make a convincing point with three perplexing penetrations before being bent bare-handed and presented to your participant.,"Raw corn placed in hat, candle held under, popcorn pops out",NONE
623,60-1,60,More Unique Mysteries,Max Malini's Egg Bag,Tarbell's Quick Popper,3:45:57,5,110,You'll learn the secret of the Malini Egg Bag causing an egg to vanish and re-appear with incredible ease.,"As above, with wastebasket",NONE
624,61-1,60,Four Ace Effects,Conus' Aces,Gardner's Card through the Handkerchief,0:00:09,5,114,An early version of the ace transposition which makes it look like you can steal the aces away from under someone's hand.,,NONE
625,61-1,60,Four Ace Effects,Simple Four-Ace Routine,Carmen Damico's Toss Over Card,0:11:29,5,115,A classic four ace assembly.,"Card placed on table, two others reversed and placed in the deck. Card on table vanishes as it is tossed at the deck, and is found between the reversed cards",NONE
626,61-1,60,Four Ace Effects,Ed Marlo's Simplex Aces,Stanley Jak's Good Luck Card,0:18:49,5,117,A convincing ace assembly version by Ed Marlo using a versatile switch.,Selected card found folded inside coin purse,NONE
627,61-1,60,Four Ace Effects,Grant's Four-Ace Routine,Himber's Name Cards,0:24:11,5,119,"Next, Gen Grant gives you a non-sleight-of-hand method",Card count revelation.,NONE
628,61-1,60,Four Ace Effects,Paul Rosini's Ace Transposition,Leon Maguire's Newspaper Card Holder,0:37:01,5,121,An incredible transposition now improved with a couple of extra kickers.,"Holder, stack, and servante ideas",NONE
629,61-1,60,Four Ace Effects,Ed Marlo's Face-Up Ace-Embly,Karrell Fox's The Question Is...,0:46:36,5,123,A way to make the aces instantly gather together and reverse themselves in the middle of the deck.,Cards spread in question mark,NONE
630,61-1,60,Four Ace Effects,Larson's Aces,Tony Lopilato's Yeast Pack,0:54:11,5,127,"An effective, and versatile, sequence to make four cards all appear to be the same before revealing their true identities.",Cards spread and rise under handkerchief,NONE
631,61-1,60,Four Ace Effects,Christopher's Red and Black Aces,Tony Lopilato's Sympathetic Silks,0:59:17,5,129,Make the red and black aces change places in the blink of an eye.,six silks,NONE
632,61-1,60,Four Ace Effects,"""Chic"" Schoke's Hippity Hop Aces",Tony Lopilato's Snappy Knotting Silks,1:03:27,5,131,"A unique, visual way to make the aces change places.",magnet,NONE
633,61-1,60,Four Ace Effects,Audley Walsh's Ace Assembly,The Quick Knot Silks,1:06:48,5,133,"An incredibly deceptive technique which allows the aces, distributed in a fan, to instantly come together on the top of the deck with no sleight-of-hand.",two loops of silk link,NONE
634,61-1,60,Four Ace Effects,Barnhardt's Four-Ace Opener,Gene Tarbell's Rubber Band off String,1:11:41,5,134,Cut to the four aces from a shuffled pack.,under handkerchief,NONE
635,61-1,60,Four Ace Effects,Ed Marlo's Four-Ace Opener,Wand Through the Hat,1:15:01,5,134,"Visually produce the four aces, by having the aces ""kiss"".",soft felt hat,NONE
636,61-1,60,Four Ace Effects,Ed Marlo's General Ace Opener,Seymour Davis' Wand through Handkerchief,1:23:17,5,136,"Find the four aces from a shuffled deck, using only one hand.",as above,NONE
637,61-1,60,Four Ace Effects,Ed Marlo's One-at-a-Time Aces,Max Malini's Egg Bag,1:31:37,5,138,A great assembly where you see the aces appear one-at-a-time.,"Discussion of Malini's bag. Comparison with Albini bag. Short ideas, but no full routine provided.",NONE
638,61-1,61,Four Ace Effects,"Joe Berg's ""Magician Makes Good""",Four-Ace Effects,1:39:58,5,126,"And the aces make a surprise appearance when a spectator tries to guess their card. Turns out it's an ace, so naturally the other cards change to match it.",,NONE
639,61-1,61,Four Ace Effects,H. Adrian Smith's Penetrative Aces,Conus' Aces,1:45:11,5,141,"An unusual (seldom seen) penetration effect, where the aces travel through the close up mat to join the rest, underneath the spectators wallet.",4 Aces placed face down. 4 Cards from pack switch,NONE
640,61-1,61,Four Ace Effects,The Conjurer's Four-Ace Mystery,Simple 4 Ace Routine,1:52:11,5,146,"One of the most famous ace assemblies ever, where each one is clearly seen until it vanishes from its packet to join the leader ace.","4 aces on table, 4 others added. Aces assemble",NONE
641,62-1,61,Modern Mental Mysteries Vol 1,Dai Vernon's Message in the Flames,Ed Marlo's Simplex Aces,0:00:10,5,149,A method from Dai Vernon to secretly read information (apparently destroyed) right in front of the audience.,"4 Aces dealt, 4 others, Aces assemble (no palm)",NONE
642,62-1,61,Modern Mental Mysteries Vol 1,Dai Vernon's Mental Prediction,Grant's 4 Ace Routine,0:15:23,5,152,"A way to literally predict exactly what someone will write, and they can write absolutely anything they want.","4 Aces dealt, 4 others, mixed, put in pack and re-dealt. Assemble!",NONE
643,62-1,61,Modern Mental Mysteries Vol 1,Dai Vernon's Magazine Test,Paul Rosini's Ace Transposition,0:33:19,5,154,"A perfect page force you can do with any magazine, and this particular presentation pays off with a perplexing production.","4 Aces removed from deck, appear face down in deck, tabled cards are now indifferent cards!",NONE
644,62-1,61,Modern Mental Mysteries Vol 1,Frank Kelly's Magazine and Picture Test,Ed Marlo's Face Up Ace-embly,0:50:40,5,159,Using a magazine and some numbered picture cards you can make a winning bet on something your spectator is only thinking of.,4 Aces spread through deck. Assemble together,NONE
645,62-1,61,Modern Mental Mysteries Vol 1,"Newmann's ""Super-Divino"" Sealed Letter Test",Joe Berg's Magician Makes Good,1:10:52,5,163,"Learn how to reval a spectators birthday, social security number, even their secret code to unlock their phone.","One card selected, not revealed. Spectator points to any card, all 3 moved to top through deck and turn into Aces.",NONE
646,62-1,61,Modern Mental Mysteries Vol 1,"Braunhut's ""Thoughts Afire""",Larsen's Aces,1:37:44,5,166,"A streamlined, ungimmicked, full peek of any post-it note.","4 Ace of Spades shown, turn to 4 regular Aces",NONE
647,62-1,61,Modern Mental Mysteries Vol 1,Double Envelopes,Christopher's Red and Black Aces,2:15:42,5,177,"Learn how to make an incredibly versatile envelope which can be handed out to your audience, yet it allows you to force or exchange information with no suspicious moves.",Red and Black Aces transpose,NONE
648,62-1,61,Modern Mental Mysteries Vol 1,"Harold Braunhut's ""Ad-Venture""",Chic Schoke's Hippity Hop Aces,1:51:24,5,170,Predict an upcoming event that your spectator is only thinking of.,4 Aces transpose in the hands,NONE
649,62-1,61,Modern Mental Mysteries Vol 1,Reading the Number on a Borrowed Dollar Bill,Audley Walsh's Ace Assembly,2:32:32,5,178,Reveal the serial number of a borrowed dollar bill.,Aces distributed in pack assemble,NONE
650,62-2,61,Modern Mental Mysteries Vol 2,The Impossible Prediction,Barnhardt's 4 Ace Opener,0:00:10,5,179,"A triple coincidence finds a random helper predicting a chosen cocktail, and you provide all the right ingredients.","4 packets dealt, top of each is an Ace",NONE
651,62-2,61,Modern Mental Mysteries Vol 2,The Royal Telephone Test,Ed Marlo's 4 Ace Opener,0:15:40,5,181,"A direct method for the perennial favorite telephone card trick, updated with options for the cellphone era.",Indifferent cards change to 4 Aces,NONE
652,62-2,61,Modern Mental Mysteries Vol 2,"Tarbell's ""Bank Night"" ",Ed Marlo's General Ace Opener,0:26:15,5,183,"A new presentation and handling with prize bubbles that breathes new life into Bank Night, making everyone a winner, especially you.",Deck shuffled 4 times,NONE
653,62-2,61,Modern Mental Mysteries Vol 2,The Psychic Number 7,Ed Marlo's One at a Time Aces,0:44:09,5,188,"A closely-guarded method to code any playing card over the phone, explained here for the first time ever.","4 Aces dealt, 3 cards on each, Aces Assemble",NONE
654,62-2,61,Modern Mental Mysteries Vol 2,"Sunshine's ""Stop Card"" Mystery ",H. Adrian Smith's Penetrative Aces,1:00:47,5,190,"Three spectators are called upon to locate their own cards through intuition, and they do, with quite a bit of help from this clever new handling.",Aces Penetrate newspaper in matrix,NONE
655,62-2,61,Modern Mental Mysteries Vol 2,Synthetic Sympathy ,Conjurer's 4 Ace Mystery,1:24:08,5,194,"A quick, impromptu card-matching trick by Ted Annemann that will put your card handling skills to good use.",gimmicked 4 Ace Assembly,NONE
656,62-2,62,Modern Mental Mysteries Vol 2,The X-Ray Cards,Modern Mental Mysteries,1:45:40,5,200,A do-it-yourself deck of cards seems completely ordinary but contains a secret way for you to see any card returned anywhere.,,NONE
