ID,LESSON,BOOK_LESSON,SUBJECT,TITLE,BOOK_TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
317,34-1,36,Routining a Magic Show,Scripting,Match through Safety Pin,0:27:01,---,---,---,A match penetrates the metal of a safety pin,NONE
318,34-1,36,Routining a Magic Show,Choosing Material,Match on Edge,0:40:17,---,---,---,Bar bet to have a match stand on its edge,NONE
319,34-1,36,Routining a Magic Show,Putting it in Order,Rising and Falling Match,0:48:46,---,---,---,Match rises and falls at will in pop bottle of water,NONE
320,34-1,36,Routining a Magic Show,Technical Considerations,A Button Off the Vest,1:03:40,---,---,---,An impromptu tearing off and restoration of a spectator's button,NONE
321,34-1,36,Routining a Magic Show,Acting,Tavern Trickery,1:13:34,---,---,---,A card is revealed by the inside of a bottle cap previously shown empty,NONE
322,35-1,36,How to Make People Laugh,How To Make People Laugh,Christopher's Finger Tip Telepathy,0:00:00,3,35,---,A spectator predicts another spectator's card,NONE
323,36-2,36,Intimate Magic,"Christopher's ""Double Cross""",The Phantom Safety Pin,0:00:09,3,53,"Spectator is asked to think of 4 letter words and imagine that those words appear on a blank business card. The spectator says he can see them appearing, but the audience sees just blank business cards.  The spectator holds 4 blank cards and a crayon. Spectator imagines writing each letter of the word he thought of on each of the cards in his hands. When revealed, the letters of his thought of word have been written on his cards.  ",A safety pin is torn along a handkerchief without harming it.,NONE
324,36-2,36,Intimate Magic,"Joe Berg's ""Double Cross""",Ring Rope and Pin,0:13:27,3,56,Spectator cuts shuffled deck and looks at top card. Magician spreads an invisible deck out in front of Spectator B and gets Them to name the card.,A ring is placed on a rope under a handkerchief while the ends are in view.,NONE
325,36-2,36,Intimate Magic,Tarbell's Sugar Mark,Tom Osborne's Ring and Spirit Knot,0:29:42,3,58,"Spectator opens sugar pack, magician pours it in hand and transforms it to sugar cube. Spectator writes initials on it.  Magician places sugar cube in water and places spectator's hands over water.  Spectator's initials appear on the spectator's hands in different places.","As above, without using a safety pin.",NONE
326,36-2,36,Intimate Magic,Christopher's Match Book and Coin,The Ring in the Knot,0:38:40,3,61,Matches are removed from matchbook and matchbook is torn in half.  Halves are rubbed together and quarter appears between them. Halves are then torn in half again.  Spectator rubs 2 halves together and magician rubs 2 other halves.  Quarter appears between magician's halves.  Magician takes halves from spectator and rubs them together to produce another quarter.  1 of the quarters is rolled up and when it is unrolled a quarter is found inside it.,"A ring is threaded on a rope, and instantly becomes knotted upon it",NONE
327,36-2,36,Intimate Magic,Christopher's Match Stickler,A Fountain Pen Nifty,0:48:31,3,63,"1 match is removed from matchbook, burnt, and blown out so head of match is now blackened. Match disappears and reappears inside matchbook.  5 matches are then torn out, 1 match is used to light all the other matches left in matchbook (Spectator is holding the 5 that were torn out). Magician grabs the 5 matches and 1 at a time, places them into the spectator's hand. On the 5th one, spectator closes their hand.  Spectator waves matchbook over their hand. 1 match disappears and reappears inside matchbook with burnt matches.","The cap of a fountain pen disappears, to reappear back on the pen",NONE
328,36-2,36,Intimate Magic,Audley Walsh Match Routine,Joe Berg's Criss-Cross Paper Napkin,1:00:22,3,65,"2 matches appears at magician's fingertips.  1 disappears, then reappears.  It disappears again and  reappears. 1 match causes another 1 to jump off magician's hand.  The match disappears then reappears.  Both matches then penetrate each other several times. Match is lit, blown out, Magician makes a gun with his fingers and ""shoots"" at the match and the head falls off. ","Napkin torn into four. Two are torn and rolled, other two are just rolled. Two torn exchange with two untorn pieces. Torn pieces then restore themselves. Finally, all are rolled and restore into the original napkin. Close-up",NONE
